time,ehc_bo1,ehc_bo11,bisite_bo1,bisite_bo1_verif
10/20/2019 17:30,4598.540146,3965.93674,4705.882353,841.6476462
10/20/2019 17:35,7372.262774,4939.172749,7637.302329,2814.334461
10/20/2019 17:40,14184.91484,4939.172749,14686.1661,7559.40885
10/20/2019 17:45,17347.93187,6155.717762,18206.02464,9136.367453
10/20/2019 17:50,14963.50365,6788.321168,15549.00606,6950.854587
10/20/2019 17:55,11508.51582,7128.953771,11715.72015,4171.291384
10/20/2019 18:00,11313.86861,7664.233577,11705.96366,3371.895969
10/20/2019 18:05,10437.9562,8150.851582,10519.53331,2374.483775
10/20/2019 18:10,11070.55961,8880.778589,11098.01211,2961.205811
10/20/2019 18:15,10827.25061,9416.058394,11088.25562,2557.843953
10/20/2019 18:20,11411.19221,9610.705596,11666.73442,2748.532432
10/20/2019 18:25,11216.54501,10145.9854,11362.65702,2741.051458
10/20/2019 18:30,11703.16302,10389.2944,11647.01817,2733.875831
10/20/2019 18:35,11411.19221,10194.6472,11637.26168,2924.56431
10/20/2019 18:40,11605.83942,10486.618,11627.50518,2719.219231
10/20/2019 18:45,11946.47202,10340.6326,12499.89837,2711.89093
10/20/2019 18:50,11800.48662,10194.6472,11607.78893,2704.409957
10/20/2019 18:55,11751.82482,10000,11892.15009,2697.23433
10/20/2019 19:00,11751.82482,8686.131387,11882.39359,2689.90603
10/20/2019 19:05,11557.17762,8637.469586,11578.31619,2682.57773
10/20/2019 19:10,11751.82482,8442.822384,11862.67734,2675.249429
10/20/2019 19:15,12335.76642,7907.542579,12441.15614,2865.785235
10/20/2019 19:20,11995.13382,7128.953771,13019.63494,2858.609608
10/20/2019 19:25,13454.98783,7372.262774,13303.79284,3049.298086
10/20/2019 19:30,17250.60827,5279.805353,20058.74223,8982.320476
10/20/2019 19:35,22798.05353,4744.525547,26813.69161,14717.47876
10/20/2019 19:40,26204.37956,5036.49635,28862.75865,16690.16557
10/20/2019 19:45,31021.89781,4452.554745,33853.00215,21237.22318
10/20/2019 19:50,18029.19708,2019.46472,34137.16005,21626.23379
10/20/2019 19:55,267.6399027,170.3163017,38245.05061,25579.08839
10/20/2019 20:00,1922.141119,218.9781022,,
10/20/2019 20:05,510.9489051,170.3163017,,
10/20/2019 20:10,121.6545012,170.3163017,,
